order_id,order_date,customer_name,product_name,category,quantity,unit_price,total
O03679,2024-01-04,Benjamin Iversen,Matte Black Shower Curtain,Bath,4,417.94,1671.76
O03679,2024-01-04,Benjamin Iversen,Woven Cotton Sheet Set,Bedding,3,29.52,88.56
O03679,2024-01-04,Benjamin Iversen,Modern Doormat,Outdoor,2,28.94,57.88
O03873,2024-01-04,James Zimmerman,Matte Black Entry Bench,Furniture,5,146.16,730.8
O03873,2024-01-04,James Zimmerman,Woven Cotton Sheet Set,Bedding,1,29.52,29.52
O04716,2024-01-04,Sophia Norwood,Matte Black Dining Chair,Furniture,1,155.23,155.23
O04716,2024-01-04,Sophia Norwood,Woven Cotton Wall Art Print,Decor,3,358.05,1074.15
O04716,2024-01-04,Sophia Norwood,Slate Gray Fitted Sheet,Bedding,1,416.72,416.72
O04716,2024-01-04,Sophia Norwood,Brushed Copper Coffee Maker,Kitchen,1,215.44,215.44
O00141,2024-01-05,Harper Vance,Matte Black Entry Bench,Furniture,1,146.16,146.16
O00141,2024-01-05,Harper Vance,Reclaimed Wood Garden Tool Set,Outdoor,5,310.0,1550.0
O00141,2024-01-05,Harper Vance,Solid Brass Canvas Print,Decor,3,296.59,889.77
O00141,2024-01-05,Harper Vance,Navy Closet Organizer,Storage,4,68.48,273.92
O00555,2024-01-05,Noah Ellison,Slate Gray Shower Curtain,Bath,2,384.59,769.18
O00694,2024-01-05,Wyatt Abbott,Powder-Coated Hand Mixer,Kitchen,3,378.87,1136.61
O00694,2024-01-05,Wyatt Abbott,Carrara Marble Ladle,Kitchen,5,345.2,1726.0
O00694,2024-01-05,Wyatt Abbott,Charcoal Bath Tray,Bath,4,86.46,345.84
O01239,2024-01-05,Matthew Thatcher,Sage Green Whisk,Kitchen,3,157.6,472.8
O01239,2024-01-05,Matthew Thatcher,Walnut Chandelier,Lighting,1,29.64,29.64
O01239,2024-01-05,Matthew Thatcher,Powder-Coated Body Pillow,Bedding,1,443.61,443.61
O01356,2024-01-05,Hannah Keller,Sage Green Planter Pot,Outdoor,5,114.8,574.0
O01356,2024-01-05,Hannah Keller,Matte Black Chandelier,Lighting,2,384.93,769.86
O01356,2024-01-05,Hannah Keller,Powder-Coated Hand Mixer,Kitchen,5,378.87,1894.35
O02821,2024-01-05,Zoey Gallo,Slate Gray Table Lamp,Lighting,5,90.92,454.6
O03802,2024-01-05,Sofia Norwood,Navy Closet Organizer,Storage,4,68.48,273.92
O03802,2024-01-05,Sofia Norwood,Charcoal Fleece Blanket,Bedding,5,62.75,313.75
O05704,2024-01-05,Harper Ostrander,Reclaimed Wood Garden Tool Set,Outdoor,3,310.0,930.0
O05704,2024-01-05,Harper Ostrander,Reclaimed Wood Glass Vase,Decor,4,23.84,95.36
O05916,2024-01-05,Luke Grant,Woven Cotton Sheet Set,Bedding,4,29.52,118.08
O05916,2024-01-05,Luke Grant,Slate Gray Stackable Bin,Storage,5,133.77,668.85
O05916,2024-01-05,Luke Grant,Rustic Oak Desk Lamp,Lighting,4,9.99,39.96
O02311,2024-01-06,Benjamin Norwood,Modern Doormat,Outdoor,4,28.94,115.76
O02311,2024-01-06,Benjamin Norwood,Carrara Marble Ladle,Kitchen,4,345.2,1380.8
O02486,2024-01-06,Sebastian Yates,Charcoal Entry Bench,Furniture,1,34.75,34.75
O02486,2024-01-06,Sebastian Yates,Hand-Glazed Laundry Basket,Storage,1,271.08,271.08
O02486,2024-01-06,Sebastian Yates,Navy Closet Organizer,Storage,4,68.48,273.92
O02486,2024-01-06,Sebastian Yates,Slate Gray Spatula Set,Kitchen,3,181.52,544.56
O03653,2024-01-06,Olivia Lambert,Ivory Shelf Unit,Storage,3,409.81,1229.43
O03653,2024-01-06,Olivia Lambert,Rustic Oak Corner Shelf,Storage,4,67.39,269.56
O03653,2024-01-06,Olivia Lambert,Charcoal Bath Tray,Bath,4,86.46,345.84
O04545,2024-01-06,Lucas Dunmore,Classic Quilt,Bedding,5,135.4,677.0
O04787,2024-01-06,Emma Lindqvist,Matte Black Shower Curtain,Bath,3,417.94,1253.82
O04787,2024-01-06,Emma Lindqvist,Slate Gray Fitted Sheet,Bedding,5,416.72,2083.6
O04787,2024-01-06,Emma Lindqvist,Classic Shower Curtain,Bath,3,11.23,33.69
O04787,2024-01-06,Emma Lindqvist,Slate Gray Arc Lamp,Lighting,3,185.4,556.2
O00042,2024-01-07,Lily Diaz,Matte Black Accent Chair,Furniture,1,389.34,389.34
O00148,2024-01-07,Matthew Ingram,Rustic Oak Corner Shelf,Storage,5,67.39,336.95
O01005,2024-01-07,John Bishop,Solid Brass Canvas Print,Decor,5,296.59,1482.95
O01005,2024-01-07,John Bishop,Slate Gray Fitted Sheet,Bedding,1,416.72,416.72
O01005,2024-01-07,John Bishop,Bamboo Pruning Shears,Outdoor,5,349.64,1748.2
O01069,2024-01-07,Emma Ingram,Slate Gray Washcloth Set,Bath,3,441.96,1325.88
O01069,2024-01-07,Emma Ingram,Walnut Chandelier,Lighting,2,29.64,59.28
O01069,2024-01-07,Emma Ingram,Hand-Glazed Stackable Bin,Storage,4,193.81,775.24
O02555,2024-01-07,David Vance,Natural Linen Body Pillow,Bedding,3,252.47,757.41
O02555,2024-01-07,David Vance,Charcoal Fleece Blanket,Bedding,3,62.75,188.25
O02555,2024-01-07,David Vance,Navy Closet Organizer,Storage,2,68.48,136.96
O02795,2024-01-07,Zoey Gallo,Rustic Oak Corner Shelf,Storage,2,67.39,134.78
O02795,2024-01-07,Zoey Gallo,Brushed Copper Coffee Maker,Kitchen,5,215.44,1077.2
O02795,2024-01-07,Zoey Gallo,Walnut Chandelier,Lighting,3,29.64,88.92
O00374,2024-01-08,Elizabeth Carter,Woven Cotton Wall Art Print,Decor,5,358.05,1790.25
O01846,2024-01-08,Jack Zimmerman,Matte Black Skillet,Kitchen,5,380.87,1904.35
O01846,2024-01-08,Jack Zimmerman,Carrara Marble Pendant Light,Lighting,2,364.88,729.76
O01846,2024-01-08,Jack Zimmerman,Charcoal Fleece Blanket,Bedding,3,62.75,188.25
O02230,2024-01-08,Ella Parrish,Walnut Chandelier,Lighting,2,29.64,59.28
O02230,2024-01-08,Ella Parrish,Slate Gray Shower Curtain,Bath,2,384.59,769.18
O02230,2024-01-08,Ella Parrish,Matte Black Chandelier,Lighting,3,384.93,1154.79
O02426,2024-01-08,Chloe Osei,Woven Cotton Wall Art Print,Decor,5,358.05,1790.25
O02426,2024-01-08,Chloe Osei,Matte Black Accent Chair,Furniture,5,389.34,1946.7
O02494,2024-01-08,John Quintero,Sage Green Planter Pot,Outdoor,5,114.8,574.0
O02494,2024-01-08,John Quintero,Reclaimed Wood Fairy Lights,Lighting,1,268.92,268.92
O02811,2024-01-08,Emma Diaz,Solid Brass Curtain Liner,Bath,3,383.82,1151.46
O02811,2024-01-08,Emma Diaz,Classic Quilt,Bedding,4,135.4,541.6
O02811,2024-01-08,Emma Diaz,Solid Brass Canvas Print,Decor,5,296.59,1482.95
O02811,2024-01-08,Emma Diaz,Reclaimed Wood Garden Tool Set,Outdoor,1,310.0,310.0
O03471,2024-01-08,Ava Quintero,Rustic Oak Corner Shelf,Storage,2,67.39,134.78
O03471,2024-01-08,Ava Quintero,Solid Brass Canvas Print,Decor,1,296.59,296.59
O03810,2024-01-08,Benjamin Holloway,Terracotta Scented Candle,Decor,1,356.11,356.11
O04197,2024-01-08,Chloe Ellison,Powder-Coated Side Table,Furniture,3,182.2,546.6
O04197,2024-01-08,Chloe Ellison,Slate Gray Fitted Sheet,Bedding,3,416.72,1250.16
O04578,2024-01-08,Carter Holloway,Matte Black Accent Chair,Furniture,5,389.34,1946.7
O04578,2024-01-08,Carter Holloway,Rustic Oak Desk Lamp,Lighting,4,9.99,39.96
O05210,2024-01-08,Olivia Dunmore,Navy Closet Organizer,Storage,3,68.48,205.44
O05511,2024-01-08,Julian Norwood,Hand-Glazed Wall Mirror,Decor,1,447.66,447.66
O05903,2024-01-08,Gabriel Thatcher,Rustic Oak Baking Sheet,Kitchen,5,27.73,138.65
O05903,2024-01-08,Gabriel Thatcher,Matte Black Chandelier,Lighting,1,384.93,384.93
O00473,2024-01-09,Owen Grant,Rustic Oak Baking Sheet,Kitchen,3,27.73,83.19
O00473,2024-01-09,Owen Grant,Modern Saucepan,Kitchen,3,267.21,801.63
O00766,2024-01-09,Michael Yates,Terracotta Scented Candle,Decor,3,356.11,1068.33
O00766,2024-01-09,Michael Yates,Hand-Glazed Stackable Bin,Storage,4,193.81,775.24
O00766,2024-01-09,Michael Yates,Rustic Oak Baking Sheet,Kitchen,5,27.73,138.65
O02390,2024-01-09,Sebastian Chandler,Bamboo Pruning Shears,Outdoor,1,349.64,349.64
O02390,2024-01-09,Sebastian Chandler,Slate Gray Table Lamp,Lighting,2,90.92,181.84
O02390,2024-01-09,Sebastian Chandler,Matte Black Shower Curtain,Bath,1,417.94,417.94
O02524,2024-01-09,Elizabeth Carter,Reclaimed Wood Fairy Lights,Lighting,3,268.92,806.76
O02524,2024-01-09,Elizabeth Carter,Slate Gray Stackable Bin,Storage,1,133.77,133.77
O02778,2024-01-09,Wyatt Ingram,Sage Green Planter Pot,Outdoor,2,114.8,229.6
O02778,2024-01-09,Wyatt Ingram,Natural Linen Body Pillow,Bedding,5,252.47,1262.35
O02778,2024-01-09,Wyatt Ingram,Powder-Coated Toothbrush Holder,Bath,2,407.27,814.54
O03787,2024-01-09,Olivia Lambert,Powder-Coated Toothbrush Holder,Bath,5,407.27,2036.35
O05055,2024-01-09,Amelia Bennett,Matte Black Bookshelf,Furniture,1,116.76,116.76
O05474,2024-01-09,Michael Yates,Terracotta Hanging Planter,Outdoor,2,10.1,20.2
O05474,2024-01-09,Michael Yates,Slate Gray Shower Curtain,Bath,3,384.59,1153.77
O05474,2024-01-09,Michael Yates,Powder-Coated Body Pillow,Bedding,4,443.61,1774.44
O01734,2024-01-10,Zoey Hensley,Carrara Marble Pendant Light,Lighting,4,364.88,1459.52
O01917,2024-01-10,Luke Nolan,Ivory Shelf Unit,Storage,2,409.81,819.62
O01917,2024-01-10,Luke Nolan,Navy Fairy Lights,Lighting,4,349.98,1399.92
O01917,2024-01-10,Luke Nolan,Powder-Coated Side Table,Furniture,3,182.2,546.6
O01917,2024-01-10,Luke Nolan,Reclaimed Wood Glass Vase,Decor,5,23.84,119.2
O02573,2024-01-10,Harper Bennett,Rustic Oak Baking Sheet,Kitchen,4,27.73,110.92
O02573,2024-01-10,Harper Bennett,Matte Black Entry Bench,Furniture,2,146.16,292.32
O03024,2024-01-10,Aria Jasper,Rustic Oak Quilt,Bedding,5,358.81,1794.05
O03024,2024-01-10,Aria Jasper,Ivory Shelf Unit,Storage,5,409.81,2049.05
O03024,2024-01-10,Aria Jasper,Sage Green Whisk,Kitchen,5,157.6,788.0
O05203,2024-01-10,Noah Ellison,Navy Closet Organizer,Storage,1,68.48,68.48
O05203,2024-01-10,Noah Ellison,Matte Black Dining Chair,Furniture,3,155.23,465.69
O05203,2024-01-10,Noah Ellison,Matte Black Entry Bench,Furniture,2,146.16,292.32
O05370,2024-01-10,Ella Nolan,Reclaimed Wood Garden Tool Set,Outdoor,4,310.0,1240.0
O05370,2024-01-10,Ella Nolan,Slate Gray Table Lamp,Lighting,4,90.92,363.68
O05370,2024-01-10,Ella Nolan,Charcoal Quilt,Bedding,4,391.13,1564.52
O05750,2024-01-10,Isabella Quintero,Bamboo Pruning Shears,Outdoor,3,349.64,1048.92
O05750,2024-01-10,Isabella Quintero,Carrara Marble Ladle,Kitchen,3,345.2,1035.6
O05750,2024-01-10,Isabella Quintero,Matte Black Chandelier,Lighting,2,384.93,769.86
O05802,2024-01-10,Wyatt Abbott,Sage Green Planter Pot,Outdoor,5,114.8,574.0
O05802,2024-01-10,Wyatt Abbott,Reclaimed Wood Glass Vase,Decor,5,23.84,119.2
O05802,2024-01-10,Wyatt Abbott,Powder-Coated Toothbrush Holder,Bath,2,407.27,814.54
O00258,2024-01-11,Benjamin Norwood,Classic Shower Curtain,Bath,3,11.23,33.69
O00258,2024-01-11,Benjamin Norwood,Rustic Oak Garden Tool Set,Outdoor,2,29.47,58.94
O00258,2024-01-11,Benjamin Norwood,Slate Gray Shower Curtain,Bath,4,384.59,1538.36
O00989,2024-01-11,Lucas Dunmore,Matte Black Shower Curtain,Bath,2,417.94,835.88
O00989,2024-01-11,Lucas Dunmore,Rustic Oak Corner Shelf,Storage,5,67.39,336.95
O00989,2024-01-11,Lucas Dunmore,Brushed Copper Coffee Maker,Kitchen,2,215.44,430.88
O01934,2024-01-11,Chloe Nolan,Ivory Shelf Unit,Storage,1,409.81,409.81
O01934,2024-01-11,Chloe Nolan,Reclaimed Wood Glass Vase,Decor,5,23.84,119.2
O01934,2024-01-11,Chloe Nolan,Reclaimed Wood Garden Tool Set,Outdoor,5,310.0,1550.0
O01934,2024-01-11,Chloe Nolan,Matte Black Bookshelf,Furniture,3,116.76,350.28
O02856,2024-01-11,Noah Grant,Carrara Marble Ladle,Kitchen,5,345.2,1726.0
O02856,2024-01-11,Noah Grant,Matte Black Accent Chair,Furniture,2,389.34,778.68
O02950,2024-01-11,Liam Foster,Matte Black Chandelier,Lighting,5,384.93,1924.65
O03635,2024-01-11,James Grant,Walnut Storage Basket,Storage,1,15.81,15.81
O03635,2024-01-11,James Grant,Slate Gray Fitted Sheet,Bedding,3,416.72,1250.16
O03635,2024-01-11,James Grant,Matte Black Dining Chair,Furniture,3,155.23,465.69
O04389,2024-01-11,Zoey Fairweather,Woven Cotton Sheet Set,Bedding,1,29.52,29.52
O04389,2024-01-11,Zoey Fairweather,Solid Brass Canvas Print,Decor,1,296.59,296.59
O04389,2024-01-11,Zoey Fairweather,Natural Linen Body Pillow,Bedding,2,252.47,504.94
O05534,2024-01-11,Benjamin Iversen,Charcoal Entry Bench,Furniture,4,34.75,139.0
O05534,2024-01-11,Benjamin Iversen,Carrara Marble Pendant Light,Lighting,4,364.88,1459.52
O00930,2024-01-12,Lily Diaz,Carrara Marble Ladle,Kitchen,5,345.2,1726.0
O01159,2024-01-12,Evelyn Pemberton,Carrara Marble Pendant Light,Lighting,5,364.88,1824.4
O01159,2024-01-12,Evelyn Pemberton,Navy Closet Organizer,Storage,2,68.48,136.96
O02239,2024-01-12,Ella Nolan,Woven Cotton Wall Art Print,Decor,4,358.05,1432.2
O02239,2024-01-12,Ella Nolan,Terracotta Hanging Planter,Outdoor,2,10.1,20.2
O02239,2024-01-12,Ella Nolan,Reclaimed Wood Garden Tool Set,Outdoor,5,310.0,1550.0
O03209,2024-01-12,Carter Jennings,Sage Green Whisk,Kitchen,4,157.6,630.4
O03209,2024-01-12,Carter Jennings,Slate Gray Arc Lamp,Lighting,4,185.4,741.6
O03209,2024-01-12,Carter Jennings,Brushed Copper Coffee Maker,Kitchen,1,215.44,215.44
O03954,2024-01-12,Gabriel Marsh,Brushed Copper Coffee Maker,Kitchen,5,215.44,1077.2
O03954,2024-01-12,Gabriel Marsh,Bamboo Ladder Shelf,Furniture,5,123.07,615.35
O03954,2024-01-12,Gabriel Marsh,Reclaimed Wood Glass Vase,Decor,5,23.84,119.2
O03970,2024-01-12,Zoey Gallo,Rustic Oak Glass Vase,Decor,4,296.82,1187.28
O04738,2024-01-12,Sophia Yates,Woven Cotton Hanging Planter,Outdoor,3,91.24,273.72
O05394,2024-01-12,Isabella Quintero,Hand-Glazed Wall Mirror,Decor,4,447.66,1790.64
O05394,2024-01-12,Isabella Quintero,Matte Black Dining Chair,Furniture,3,155.23,465.69
O05394,2024-01-12,Isabella Quintero,Ivory Shelf Unit,Storage,4,409.81,1639.24
O05530,2024-01-12,Luke Thatcher,Carrara Marble Ladle,Kitchen,3,345.2,1035.6
O05530,2024-01-12,Luke Thatcher,Rustic Oak Corner Shelf,Storage,5,67.39,336.95
O05530,2024-01-12,Luke Thatcher,Charcoal Quilt,Bedding,4,391.13,1564.52
O00325,2024-01-13,John Abbott,Walnut Chandelier,Lighting,3,29.64,88.92
O01332,2024-01-13,Amelia Jasper,Sage Green Whisk,Kitchen,2,157.6,315.2
O01332,2024-01-13,Amelia Jasper,Rustic Oak Corner Shelf,Storage,3,67.39,202.17
O01438,2024-01-13,Emma Foster,Matte Black Shower Curtain,Bath,3,417.94,1253.82
O01467,2024-01-13,Carter Diaz,Classic Quilt,Bedding,3,135.4,406.2
O01467,2024-01-13,Carter Diaz,Ivory Shelf Unit,Storage,2,409.81,819.62
O02276,2024-01-13,James Everhart,Matte Black Dining Chair,Furniture,4,155.23,620.92
O02276,2024-01-13,James Everhart,Hand-Glazed Laundry Basket,Storage,3,271.08,813.24
O03695,2024-01-13,Olivia Carter,Powder-Coated Side Table,Furniture,3,182.2,546.6
O03695,2024-01-13,Olivia Carter,Bamboo Ladder Shelf,Furniture,1,123.07,123.07
O03695,2024-01-13,Olivia Carter,Classic Quilt,Bedding,4,135.4,541.6
O03695,2024-01-13,Olivia Carter,Walnut Chandelier,Lighting,1,29.64,29.64
O04972,2024-01-13,James Diaz,Slate Gray Table Lamp,Lighting,1,90.92,90.92
O04972,2024-01-13,James Diaz,Classic Shower Curtain,Bath,5,11.23,56.15
O04972,2024-01-13,James Diaz,Terracotta Scented Candle,Decor,1,356.11,356.11
O05996,2024-01-13,Lily Keller,Navy Closet Organizer,Storage,3,68.48,205.44
O05996,2024-01-13,Lily Keller,Classic Shower Curtain,Bath,4,11.23,44.92
O01188,2024-01-14,Ava Yates,Matte Black Bookshelf,Furniture,5,116.76,583.8
O01560,2024-01-14,Chloe Zimmerman,Matte Black Chandelier,Lighting,1,384.93,384.93
O01560,2024-01-14,Chloe Zimmerman,Powder-Coated Side Table,Furniture,2,182.2,364.4
O01560,2024-01-14,Chloe Zimmerman,Rustic Oak Quilt,Bedding,1,358.81,358.81
O03057,2024-01-14,Sofia Norwood,Navy Closet Organizer,Storage,3,68.48,205.44
O03057,2024-01-14,Sofia Norwood,Natural Linen Body Pillow,Bedding,4,252.47,1009.88
O01253,2024-01-15,Zoey Hensley,Walnut Chandelier,Lighting,2,29.64,59.28
O01253,2024-01-15,Zoey Hensley,Matte Black Accent Chair,Furniture,1,389.34,389.34
O01253,2024-01-15,Zoey Hensley,Modern Doormat,Outdoor,2,28.94,57.88
O01253,2024-01-15,Zoey Hensley,Bamboo Ladder Shelf,Furniture,3,123.07,369.21
O02053,2024-01-15,Owen Thatcher,Charcoal Fleece Blanket,Bedding,4,62.75,251.0
O02053,2024-01-15,Owen Thatcher,Solid Brass Curtain Liner,Bath,5,383.82,1919.1
O02053,2024-01-15,Owen Thatcher,Matte Black Ceramic Vase,Decor,1,76.71,76.71
O02088,2024-01-15,Henry Everhart,Rustic Oak Desk Lamp,Lighting,4,9.99,39.96
O02088,2024-01-15,Henry Everhart,Reclaimed Wood Glass Vase,Decor,3,23.84,71.52
O02088,2024-01-15,Henry Everhart,Rustic Oak Baking Sheet,Kitchen,5,27.73,138.65
O00580,2024-01-16,James Zimmerman,Ivory Shelf Unit,Storage,4,409.81,1639.24
O00580,2024-01-16,James Zimmerman,Solid Brass Curtain Liner,Bath,3,383.82,1151.46
O00580,2024-01-16,James Zimmerman,Classic Quilt,Bedding,3,135.4,406.2
O01803,2024-01-16,Aria Ostrander,Rustic Oak Corner Shelf,Storage,3,67.39,202.17
O01803,2024-01-16,Aria Ostrander,Matte Black Shower Curtain,Bath,1,417.94,417.94
O02009,2024-01-16,John Abbott,Powder-Coated Hand Mixer,Kitchen,4,378.87,1515.48
O02009,2024-01-16,John Abbott,Classic Shower Curtain,Bath,5,11.23,56.15
O02009,2024-01-16,John Abbott,Matte Black Shower Curtain,Bath,4,417.94,1671.76
O02009,2024-01-16,John Abbott,Slate Gray Shower Curtain,Bath,1,384.59,384.59
O02129,2024-01-16,Matthew Lindqvist,Hand-Glazed Wall Mirror,Decor,3,447.66,1342.98
O02129,2024-01-16,Matthew Lindqvist,Powder-Coated Toothbrush Holder,Bath,1,407.27,407.27
O02272,2024-01-16,Sofia Fairweather,Rustic Oak Garden Tool Set,Outdoor,4,29.47,117.88
O02272,2024-01-16,Sofia Fairweather,Modern Doormat,Outdoor,2,28.94,57.88
O02272,2024-01-16,Sofia Fairweather,Slate Gray Shower Curtain,Bath,4,384.59,1538.36
O02338,2024-01-16,Carter Diaz,Woven Cotton Sheet Set,Bedding,5,29.52,147.6
O02338,2024-01-16,Carter Diaz,Classic Shower Curtain,Bath,4,11.23,44.92
O02959,2024-01-16,Charlotte Norwood,Ivory Shelf Unit,Storage,1,409.81,409.81
O02959,2024-01-16,Charlotte Norwood,Matte Black Chandelier,Lighting,1,384.93,384.93
O02995,2024-01-16,Chloe Jasper,Woven Cotton Sheet Set,Bedding,1,29.52,29.52
O02995,2024-01-16,Chloe Jasper,Matte Black Entry Bench,Furniture,5,146.16,730.8
O02995,2024-01-16,Chloe Jasper,Hand-Glazed Wall Mirror,Decor,4,447.66,1790.64
O03073,2024-01-16,Matthew Parrish,Powder-Coated Toothbrush Holder,Bath,5,407.27,2036.35
O04703,2024-01-16,Harper Vance,Powder-Coated Body Pillow,Bedding,2,443.61,887.22
O05278,2024-01-16,Owen Nolan,Matte Black Entry Bench,Furniture,4,146.16,584.64
O00375,2024-01-17,Evelyn Pemberton,Matte Black Accent Chair,Furniture,4,389.34,1557.36
O00375,2024-01-17,Evelyn Pemberton,Ivory Shelf Unit,Storage,4,409.81,1639.24
