order_id,order_date,customer_id,email,city,channel,status,quantity,unit_price
O04405,2024-01-17,C0101,ella.hensley101@thistlewoodmail.example,Ithaca,web,completed,5,214.49
O00038,2024-01-18,C0172,noah.mercer172@thistlewoodmail.example,Lancaster,web,completed,7,116.95
O01240,2024-01-18,C0089,gabriel.marsh089@thistlewoodmail.example,Bend,store,completed,10,292.62
O01303,2024-01-18,C0052,alexander.yates052@thistlewoodmail.example,Spokane,web,completed,7,190.64
O01551,2024-01-18,C0065,liam.foster065@thistlewoodmail.example,Madison,web,completed,13,203.72
O02852,2024-01-18,C0111,isabella.fairweather111@thistlewoodmail.example,Asheville,store,completed,8,286.54
O03043,2024-01-18,C0099,,Bozeman,store,completed,9,225.5
O03343,2024-01-18,C0053,elijah.mercer053@thistlewoodmail.example,Ann Arbor,web,completed,11,82.66
O03628,2024-01-18,C0076,hannah.marsh076@thistlewoodmail.example,Duluth,web,completed,5,136.37
O04168,2024-01-18,C0001,ava.gallo001@thistlewoodmail.example,Traverse City,phone,completed,9,280.17
O04884,2024-01-18,C0143,hannah.keller143@thistlewoodmail.example,Providence,store,completed,11,191.73
O05641,2024-01-18,C0140,aria.hensley140@thistlewoodmail.example,Bozeman,phone,completed,4,295.1
O00407,2024-01-19,C0153,evelyn.pemberton153@thistlewoodmail.example,Bend,web,completed,11,261.6
O01446,2024-01-19,C0167,sofia.parrish167@thistlewoodmail.example,Northampton,web,completed,8,130.29
O02014,2024-01-19,C0175,carter.holloway175@thistlewoodmail.example,Ann Arbor,store,cancelled,9,157.67
O02026,2024-01-19,C0061,aria.lindqvist061@thistlewoodmail.example,Santa Fe,web,completed,3,272.34
O02119,2024-01-19,C0056,matthew.parrish056@thistlewoodmail.example,Spokane,store,completed,8,-264.52
O02180,2024-01-19,C0175,carter.holloway175@thistlewoodmail.example,Ann Arbor,web,completed,6,27.71
O03019,2024-01-19,C0153,evelyn.pemberton153@thistlewoodmail.example,Bend,web,completed,16,178.84
O03197,2024-01-19,C0090,avery.holloway090@thistlewoodmail.example,Eugene,phone,completed,14,202.09
O04096,2024-01-19,C0001,ava.gallo001@thistlewoodmail.example,Traverse City,store,completed,5,185.4
O05104,2024-01-19,C0053,elijah.mercer053@thistlewoodmail.example,,web,pending,7,63.51
O00129,2024-01-20,C0027,sophia.yates027@thistlewoodmail.example,Fort Collins,store,completed,14,254.56
O00515,2024-01-20,C0073,luke.grant073@thistlewoodmail.example,Eugene,web,completed,14,240.54
O02313,2024-01-20,C0098,elijah.diaz098@thistlewoodmail.example,Charleston,store,completed,8,375.81
O02809,2024-01-20,C0006,emily.keller006@thistlewoodmail.example,Madison,store,completed,6,189.7
O04041,2024-01-20,C0044,isabella.zimmerman044@thistlewoodmail.example,Sedona,store,completed,5,327.71
O04136,2024-01-20,C0049,matthew.thatcher049@thistlewoodmail.example,Bozeman,web,completed,8,140.07
O04342,2024-01-20,C0101,ella.hensley101@thistlewoodmail.example,Ithaca,web,completed,3,9.99
O01164,2024-01-21,C0137,emma.foster137@thistlewoodmail.example,Traverse City,phone,completed,13,146.81
O02431,2024-01-21,C0077,james.bishop077@thistlewoodmail.example,Taos,web,completed,8,418.28
O02489,2024-01-21,C0170,sebastian.jasper170@thistlewoodmail.example,Boise,web,completed,11,306.04
O04167,2024-01-21,C0056,matthew.parrish056@thistlewoodmail.example,Spokane,web,completed,7,134.9
O05546,2024-01-21,C0079,benjamin.norwood079@thistlewoodmail.example,Ithaca,web,completed,7,172.69
O05900,2024-01-21,C0103,john.quintero103@thistlewoodmail.example,Missoula,store,completed,2,296.59
O00892,2024-01-22,C0007,aria.jasper007@thistlewoodmail.example,Providence,phone,completed,1,67.39
O01325,2024-01-22,C0066,wyatt.ingram066@thistlewoodmail.example,Boise,web,cancelled,3,417.94
O01346,2024-01-22,C0003,chloe.gallo003@thistlewoodmail.example,Athens,web,completed,13,114.49
O02125,2024-01-22,C0180,owen.holloway180@thistlewoodmail.example,Athens,web,completed,4,355.05
O02750,2024-01-22,C0149,olivia.lambert149@thistlewoodmail.example,Madison,web,completed,1,349.64
O02785,2024-01-22,C0076,hannah.marsh076@thistlewoodmail.example,Duluth,web,completed,15,115.4
O03190,22-Jan-2024,C0102,harper.vance102@thistlewoodmail.example,Yellow Springs,web,completed,4,417.94
O03658,2024-01-22,C0021,jack.chandler021@thistlewoodmail.example,Traverse City,web,completed,7,206.11
O04558,2024-01-22,C0165,samuel.chandler165@thistlewoodmail.example,Hudson,web,completed,2,193.81
O04936,2024-01-22,C0113,david.ellison113@thistlewoodmail.example,Hudson,web,completed,2,229.71
O00496,2024-01-23,C0023,ava.yates023@thistlewoodmail.example,Sedona,store,completed,3,192.25
O01528,2024-01-23,C0014,avery.chandler014@thistlewoodmail.example,Northampton,web,completed,13,314.31
O01569,2024-01-23,C0160,john.abbott160@thistlewoodmail.example,Charleston,phone,completed,11,422.86
O02187,2024-01-23,C0024,michael.sawyer024@thistlewoodmail.example,Yellow Springs,phone,completed,12,115.0
O02244,2024-01-23,C0106,chloe.osei106@thistlewoodmail.example,Eugene,web,completed,4,28.94
O03618,2024-01-23,C0093,luke.nolan093@thistlewoodmail.example,Yellow Springs,web,completed,3,86.46
O03648,2024-01-23,C0099,luke.jasper099@thistlewoodmail.example,Bozeman,web,completed,6,72.2
O05042,2024-01-23,C0171,emma.diaz171@thistlewoodmail.example,Asbury Park,store,completed,5,151.37
O00118,2024-01-24,C0093,luke.nolan093@thistlewoodmail.example,Yellow Springs,web,completed,11,352.25
O02309,2024-01-24,C0077,james.bishop077@thistlewoodmail.example,Taos,web,completed,1,345.2
O02488,2024-01-24,C0173,chloe.nolan173@thistlewoodmail.example,Asheville,phone,completed,12,124.13
O02788,2024-01-24,C0170,sebastian.jasper170@thistlewoodmail.example,Boise,web,completed,15,230.71
O03619,2024-01-24,C0088,benjamin.iversen088@thistlewoodmail.example,Spokane,web,completed,7,246.09
O04092,2024-01-24,C0069,zoey.bennett069@thistlewoodmail.example,Savannah,web,completed,4,383.82
O05536,2024-01-24,C0009,joseph.hensley009@thistlewoodmail.example,Ithaca,store,completed,11,193.42
O00652,2024-01-25,C0061,aria.lindqvist061@thistlewoodmail.example,Santa Fe,web,completed,13,269.61
O00815,2024-01-25,C0137,emma.foster137@thistlewoodmail.example,Traverse City,store,completed,2,135.4
O02392,2024-01-25,C0011,zoey.fairweather011@thistlewoodmail.example,Chattanooga,store,completed,3,380.87
O03668,2024-01-25,C0096,julian.rowan096@thistlewoodmail.example,Providence,web,completed,13,261.64
O04004,2024-01-25,C0049,matthew.thatcher049@thistlewoodmail.example,Bozeman,store,completed,10,126.73
O04222,2024-01-25,C0151,olivia.carter151@thistlewoodmail.example,Santa Fe,web,completed,5,29.47
O04670,2024-01-25,C0160,john.abbott160@thistlewoodmail.example,Charleston,web,completed,4,356.11
O05096,2024-01-25,C0171,emma.diaz171@thistlewoodmail.example,Asbury Park,web,completed,9,162.96
O05105,2024-01-25,C0032,isabella.quintero032@thistlewoodmail.example,Ann Arbor,web,cancelled,7,262.22
O00408,2024-01-26,C0081,amelia.jasper081@thistlewoodmail.example,Ann Arbor,phone,completed,8,387.69
O00658,2024-01-26,C0131,isaac.bishop131@thistlewoodmail.example,Boulder,store,completed,10,168.34
O00835,2024-01-26,C0050,matthew.vance050@thistlewoodmail.example,Taos,web,completed,4,153.76
O01272,2024-01-26,C0037,noah.ellison037@thistlewoodmail.example,Eugene,web,pending,11,262.33
O01844,2024-01-26,C0128,julian.norwood128@thistlewoodmail.example,Chattanooga,web,completed,9,168.83
O02106,2024-01-26,C0048,joseph.underwood048@thistlewoodmail.example,Eugene,web,completed,6,172.83
O02275,2024-01-26,C0093,luke.nolan093@thistlewoodmail.example,Yellow Springs,web,completed,11,391.74
O02561,2024-01-26,C0166,michael.whitfield166@thistlewoodmail.example,Savannah,store,completed,13,149.64
O02610,2024-01-26,C0135,chloe.hensley135@thistlewoodmail.example,Lancaster,web,completed,5,29.52
O02633,2024-01-26,C0140,aria.hensley140@thistlewoodmail.example,Bozeman,store,completed,9,239.98
O03305,2024-01-26,C0013,owen.grant013@thistlewoodmail.example,Missoula,web,completed,3,193.81
O04432,2024-01-26,C0103,john.quintero103@thistlewoodmail.example,Missoula,web,completed,16,133.2
O04812,01/26/2024,C0122,chloe.ellison122@thistlewoodmail.example,Duluth,web,completed,9,198.45
O05113,2024-01-26,C0037,noah.ellison037@thistlewoodmail.example,Eugene,phone,cancelled,3,157.6
O05128,2024-01-26,C0045,levi.zimmerman045@thistlewoodmail.example,Eugene,web,completed,8,60.28
O05159,2024-01-26,C0032,isabella.quintero032@thistlewoodmail.example,Ann Arbor,web,completed,5,23.84
O00059,2024-01-27,C0170,sebastian.jasper170@thistlewoodmail.example,Boise,store,completed,1,296.59
O00565,2024-01-27,C0131,isaac.bishop131@thistlewoodmail.example,Boulder,web,completed,3,224.8
O01299,2024-01-27,C0119,owen.thatcher119@thistlewoodmail.example,Missoula,web,completed,6,237.7
O02442,2024-01-27,C0131,isaac.bishop131@thistlewoodmail.example,Boulder,store,completed,9,156.59
O04348,2024-01-27,C0164,michael.yates164@thistlewoodmail.example,Bend,web,completed,7,222.94
O04978,2024-01-27,C0075,sebastian.chandler075@thistlewoodmail.example,Spokane,web,completed,1,443.61
O05622,2024-01-27,C0160,john.abbott160@thistlewoodmail.example,Charleston,web,completed,3,15.81
O00569,2024-01-28,C0147,sofia.fairweather147@thistlewoodmail.example,Lancaster,web,completed,7,382.24
O00837,2024-01-28,C0017,lucas.dunmore017@thistlewoodmail.example,Traverse City,web,completed,1,91.24
O00891,2024-01-28,C0125,john.parrish125@thistlewoodmail.example,Fort Collins,web,completed,6,326.42
O01040,2024-01-28,C0073,luke.grant073@thistlewoodmail.example,Eugene,web,completed,10,209.43
O01784,2024-01-28,C0021,jack.chandler021@thistlewoodmail.example,Traverse City,web,completed,6,326.48
O02136,2024-01-28,C0073,luke.grant073@thistlewoodmail.example,Eugene,web,completed,8,252.69
O02583,2024-01-28,C0148,emily.holloway148@thistlewoodmail.example,Bozeman,store,completed,2,193.81
O02627,2024-01-28,C0102,harper.vance102@thistlewoodmail.example,Yellow Springs,web,completed,10,257.03
O02869,2024-01-28,C0087,lily.diaz087@thistlewoodmail.example,Duluth,web,completed,3,447.66
O03187,2024-01-28,C0056,matthew.parrish056@thistlewoodmail.example,Spokane,store,completed,1,76.71
O03391,2024-01-28,C0070,olivia.dunmore070@thistlewoodmail.example,Yellow Springs,phone,completed,9,372.98
O04090,2024-01-28,C0110,matthew.whitfield110@thistlewoodmail.example,Ithaca,phone,completed,4,380.87
O04774,2024-01-28,C0040,elizabeth.everhart040@thistlewoodmail.example,Traverse City,web,completed,2,15.81
O05887,2024-01-28,C0039,matthew.ingram039@thistlewoodmail.example,Eugene,web,pending,6,27.78
O00108,2024-01-29,C0061,aria.lindqvist061@thistlewoodmail.example,Santa Fe,store,completed,4,28.94
O00926,2024-01-29,C0144,joseph.iversen144@thistlewoodmail.example,Yellow Springs,web,cancelled,8,110.24
O00974,2024-01-29,C0078,wyatt.rowan078@thistlewoodmail.example,Portland,store,completed,8,175.49
O01492,2024-01-29,C0145,aria.dunmore145@thistlewoodmail.example,Bozeman,store,completed,16,123.08
O01558,2024-01-29,C0104,noah.grant104@thistlewoodmail.example,Eugene,store,completed,4,340.76
O01979,2024-01-29,C0113,david.ellison113@thistlewoodmail.example,Hudson,store,completed,13,212.62
O02271,2024-01-29,C0067,emma.ingram067@thistlewoodmail.example,Providence,phone,completed,7,320.78
O02367,2024-01-29,C0175,carter.holloway175@thistlewoodmail.example,Ann Arbor,phone,completed,11,219.46
O02408,2024-01-29,C0162,ella.nolan162@thistlewoodmail.example,Petaluma,web,completed,17,283.79
O02864,2024-01-29,C0139,isaac.carter139@thistlewoodmail.example,Ann Arbor,store,completed,13,256.46
O03143,2024-01-29,C0093,luke.nolan093@thistlewoodmail.example,Yellow Springs,web,completed,4,167.92
O03406,2024-01-29,C0150,wyatt.abbott150@thistlewoodmail.example,Fort Collins,web,completed,11,311.3
O03847,2024-01-29,C0085,henry.thatcher085@thistlewoodmail.example,Fort Collins,store,completed,3,417.94
O00221,2024-01-30,C0043,benjamin.osei043@thistlewoodmail.example,Traverse City,web,completed,6,375.54
O01169,2024-01-30,C0162,ella.nolan162@thistlewoodmail.example,Petaluma,web,completed,5,267.65
O01589,2024-01-30,C0100,harper.iversen100@thistlewoodmail.example,Bend,web,pending,12,113.83
O02233,2024-01-30,C0087,lily.diaz087@thistlewoodmail.example,Duluth,web,completed,9,252.21
O02359,2024-01-30,C0048,joseph.underwood048@thistlewoodmail.example,Eugene,store,completed,6,276.97
O02739,2024-01-30,C0078,wyatt.rowan078@thistlewoodmail.example,Portland,phone,completed,7,154.98
O03447,2024-01-30,C0080,david.hensley080@thistlewoodmail.example,Taos,store,completed,9,377.45
O05102,2024-01-30,C0156,sofia.dunmore156@thistlewoodmail.example,Ann Arbor,store,completed,10,321.87
O05276,2024-01-30,C0020,sebastian.yates020@thistlewoodmail.example,Asheville,phone,completed,1,91.24
O05293,2024-01-30,C0074,ava.quintero074@thistlewoodmail.example,Yellow Springs,web,completed,9,222.35
O00439,2024-01-31,C0163,owen.thatcher163@thistlewoodmail.example,Burlington,web,completed,11,71.54
O01430,2024-01-31,C0065,liam.foster065@thistlewoodmail.example,Madison,web,completed,1,364.88
O01845,2024-01-31,C0172,noah.mercer172@thistlewoodmail.example,Lancaster,web,completed,5,107.51
O04407,2024-01-31,C0045,levi.zimmerman045@thistlewoodmail.example,Eugene,web,completed,6,167.55
O04440,2024-01-31,C0047,owen.hensley047@thistlewoodmail.example,Asheville,phone,completed,2,90.92
